VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_X,pickup_Y,pickup_borough,location_i_pickup,objectid_pickup,pickup_shape_area,shape_leng_pickup,pickup_zone,X,Y,borough,location_i_dropoff,objectid_dropoff,shape_area,shape_leng_dropoff,zone
1,11/1/2022 0:51,11/1/2022 0:56,1,0.6,1,N,151,151,2,4.5,0.5,0.5,0,0,0.3,5.8,0,0,-73.96780678,40.79786723,Manhattan,151,151,0.000128849,0.054889941,Manhattan Valley,-73.96780678,40.79786723,Manhattan,151,151,0.000128849,0.054889941,Manhattan Valley
1,11/1/2022 0:39,11/1/2022 0:48,0,1.8,1,N,90,79,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,0,-73.99677701,40.74254679,Manhattan,90,90,5.53132476305e-05,0.030759162,Flatiron,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village
1,11/1/2022 0:55,11/1/2022 1:01,0,2,1,N,137,141,1,8,3,0.5,2.36,0,0.3,14.16,2.5,0,-73.97712049,40.74035752,Manhattan,137,137,0.000116455,0.046107624,Kips Bay,-73.95971268,40.76683877,Manhattan,141,141,7.66545579019e-05,0.041514464,Lenox Hill West
1,11/1/2022 0:24,11/1/2022 0:31,2,1,1,N,158,113,1,6,3,0.5,0,0,0.3,9.8,2.5,0,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West,-73.99462809,40.73248529,Manhattan,113,113,5.79634566998e-05,0.032745351,Greenwich Village North
1,11/1/2022 0:37,11/1/2022 0:42,2,0.8,1,N,249,158,2,5.5,3,0.5,0,0,0.3,9.3,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West
1,11/1/2022 0:48,11/1/2022 1:02,2,2.5,1,N,158,230,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
2,11/1/2022 0:13,11/1/2022 0:23,1,2.04,1,N,161,137,2,9,0.5,0.5,0,0,0.3,12.8,2.5,0,-73.97743184,40.7582264,Manhattan,161,161,7.19130682992e-05,0.03580391,Midtown Center,-73.97712049,40.74035752,Manhattan,137,137,0.000116455,0.046107624,Kips Bay
2,11/1/2022 0:07,11/1/2022 0:21,1,6.63,1,N,138,74,1,20,0.5,0.5,5.57,6.55,0.3,34.67,0,1.25,-73.87283016,40.77487973,Queens,138,138,0.000536797,0.107466934,LaGuardia Airport,-73.93831331,40.80556468,Manhattan,74,74,0.000295038,0.110290936,East Harlem North
2,11/1/2022 0:47,11/1/2022 0:50,2,0.53,1,N,48,161,2,4,0.5,0.5,0,0,0.3,7.8,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.97743184,40.7582264,Manhattan,161,161,7.19130682992e-05,0.03580391,Midtown Center
2,11/1/2022 0:37,11/1/2022 0:43,1,1.06,1,N,68,170,2,6,0.5,0.5,0,0,0.3,9.8,2.5,0,-73.99994016,40.74839716,Manhattan,68,68,0.000111073,0.04933738,East Chelsea,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill
