Day,Hour,Count
01,00,2071
01,01,1290
01,02,859
01,03,590
01,04,477
01,05,829
01,06,2221
01,07,4363
01,08,5421
01,09,5891
01,10,5900
01,11,5953
01,12,6376
01,13,6593
01,14,7083
01,15,7469
01,16,7543
01,17,8394
01,18,9053
01,19,8000
01,20,7336
01,21,6922
01,22,5986
01,23,3946
02,00,1922
02,01,787
02,02,430
02,03,269
02,04,281
02,05,750
02,06,2196
02,07,4470
02,08,5832
02,09,6037
02,10,6402
02,11,6822
02,12,6850
02,13,6756
02,14,7257
02,15,7673
02,16,7833
02,17,8672
02,18,9349
02,19,8550
02,20,7901
02,21,7800
02,22,6709
02,23,4723
03,00,2402
03,01,1234
03,02,640
03,03,397
03,04,370
03,05,800
03,06,2261
03,07,4491
03,08,5653
03,09,5842
03,10,6242
03,11,6605
03,12,6930
03,13,6988
03,14,7597
03,15,7916
03,16,8112
03,17,8757
03,18,9588
03,19,8892
03,20,8533
03,21,8093
03,22,7169
03,23,5972
04,00,4021
04,01,2073
04,02,1233
04,03,678
04,04,552
04,05,897
04,06,2107
04,07,4080
04,08,5053
04,09,5329
04,10,5778
04,11,6150
04,12,6546
04,13,6690
04,14,7608
04,15,7823
04,16,7645
04,17,8672
04,18,9561
04,19,8931
04,20,7440
04,21,7568
04,22,7573
04,23,6674
05,00,5772
05,01,4661
05,02,3545
05,03,2307
05,04,1148
05,05,577
05,06,971
05,07,1874
05,08,3022
05,09,4375
05,10,5737
05,11,6639
05,12,7339
05,13,7660
05,14,7788
05,15,7882
05,16,7736
05,17,7964
05,18,8012
05,19,7998
05,20,6902
05,21,6611
05,22,7036
05,23,6845
06,00,5848
06,01,8463
06,02,2473
06,03,1511
06,04,954
06,05,1070
06,06,1394
06,07,1690
06,08,2309
06,09,3471
06,10,4573
06,11,5217
06,12,5786
06,13,6115
06,14,6026
06,15,6190
06,16,6160
06,17,6084
06,18,5975
06,19,6016
06,20,5560
06,21,5031
06,22,3928
06,23,2726
07,00,1634
07,01,676
07,02,371
07,03,308
07,04,449
07,05,923
07,06,2399
07,07,4042
07,08,4958
07,09,5413
07,10,5713
07,11,5830
07,12,6211
07,13,6398
07,14,7020
07,15,7396
07,16,7168
07,17,7869
07,18,8169
07,19,7365
07,20,6532
07,21,6249
07,22,5271
07,23,3771
08,00,1753
08,01,752
08,02,361
08,03,259
08,04,342
08,05,828
08,06,2282
08,07,4341
08,08,5487
08,09,5846
08,10,5904
08,11,6320
08,12,6590
08,13,6682
08,14,7315
08,15,7662
08,16,7622
08,17,8366
