VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,11/01/22 0:51,11/01/22 0:56,1,0.6,1,N,151,151,2,4.5,0.5,0.5,0,0,0.3,5.8,0,0
1,11/01/22 0:39,11/01/22 0:48,0,1.8,1,N,90,79,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,0
1,11/01/22 0:55,11/01/22 1:01,0,2,1,N,137,141,1,8,3,0.5,2.36,0,0.3,14.16,2.5,0
1,11/01/22 0:24,11/01/22 0:31,2,1,1,N,158,113,1,6,3,0.5,0,0,0.3,9.8,2.5,0
1,11/01/22 0:37,11/01/22 0:42,2,0.8,1,N,249,158,2,5.5,3,0.5,0,0,0.3,9.3,2.5,0
1,11/01/22 0:48,11/01/22 1:02,2,2.5,1,N,190,230,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0
2,11/01/22 0:13,11/01/22 0:23,1,2.04,1,N,161,137,2,9,0.5,0.5,0,0,0.3,12.8,2.5,0
2,11/01/22 0:47,11/01/22 0:50,2,0.53,1,N,48,161,2,4,0.5,0.5,0,0,0.3,7.8,2.5,0
2,11/01/22 0:37,11/01/22 0:43,1,1.06,1,N,68,170,2,6,0.5,0.5,0,0,0.3,9.8,2.5,0
1,11/01/22 0:09,11/01/22 0:24,3,2.4,1,N,158,148,1,12,3,0.5,3.15,0,0.3,18.95,2.5,0
1,11/01/22 0:59,11/01/22 1:05,4,0.9,1,N,249,158,4,5.5,3,0.5,0,0,0.3,9.3,2.5,0
2,11/01/22 0:38,11/01/22 0:43,5,1.08,1,N,48,68,1,5.5,0.5,0.5,1.4,0,0.3,10.7,2.5,0
2,11/01/22 0:46,11/01/22 0:49,6,0.65,1,N,90,68,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,0
2,11/01/22 0:51,11/01/22 0:56,5,0.69,1,N,68,100,2,5,0.5,0.5,0,0,0.3,8.8,2.5,0
