pickup_date,PULocationID,DOLocationID,amount,PULocationZone,DOLocationZone
2022-11-01,237,236,1020,Upper East Side South,Upper East Side North
2022-11-01,236,237,852,Upper East Side North,Upper East Side South
2022-11-01,237,237,666,Upper East Side South,Upper East Side South
2022-11-01,264,264,594,NV,NV
2022-11-01,236,236,579,Upper East Side North,Upper East Side North
2022-11-01,237,161,479,Upper East Side South,Midtown Center
2022-11-01,161,237,451,Midtown Center,Upper East Side South
2022-11-01,161,236,404,Midtown Center,Upper East Side North
2022-11-01,236,161,396,Upper East Side North,Midtown Center
2022-11-01,162,237,328,Midtown East,Upper East Side South
2022-11-01,132,132,323,JFK Airport,JFK Airport
2022-11-01,132,230,317,JFK Airport,Times Sq/Theatre District
2022-11-01,186,161,311,Penn Station/Madison Sq West,Midtown Center
2022-11-01,141,236,301,Lenox Hill West,Upper East Side North
2022-11-01,237,162,300,Upper East Side South,Midtown East
2022-11-01,142,238,283,Lincoln Square East,Upper West Side North
2022-11-01,239,142,282,Upper West Side South,Lincoln Square East
2022-11-01,142,239,275,Lincoln Square East,Upper West Side South
2022-11-01,161,234,274,Midtown Center,Union Sq
2022-11-01,138,230,271,LaGuardia Airport,Times Sq/Theatre District
2022-11-01,161,161,267,Midtown Center,Midtown Center
2022-11-01,162,236,259,Midtown East,Upper East Side North
2022-11-01,141,237,256,Lenox Hill West,Upper East Side South
2022-11-01,163,236,256,Midtown North,Upper East Side North
2022-11-01,161,164,255,Midtown Center,Midtown South
2022-11-01,142,236,254,Lincoln Square East,Upper East Side North
2022-11-01,236,141,252,Upper East Side North,Lenox Hill West
2022-11-01,236,239,252,Upper East Side North,Upper West Side South
2022-11-01,237,142,250,Upper East Side South,Lincoln Square East
2022-11-01,140,236,249,Lenox Hill East,Upper East Side North
2022-11-01,236,238,248,Upper East Side North,Upper West Side North
2022-11-01,186,230,243,Penn Station/Madison Sq West,Times Sq/Theatre District
2022-11-01,236,162,241,Upper East Side North,Midtown East
2022-11-01,263,236,241,Yorkville West,Upper East Side North
2022-11-01,237,263,240,Upper East Side South,Yorkville West
2022-11-01,239,238,240,Upper West Side South,Upper West Side North
2022-11-01,142,237,239,Lincoln Square East,Upper East Side South
2022-11-01,237,140,234,Upper East Side South,Lenox Hill East
2022-11-01,237,141,234,Upper East Side South,Lenox Hill West
2022-11-01,236,142,231,Upper East Side North,Lincoln Square East
2022-11-01,163,237,227,Midtown North,Upper East Side South
2022-11-01,236,140,227,Upper East Side North,Lenox Hill East
2022-11-01,161,170,225,Midtown Center,Murray Hill
2022-11-01,238,239,220,Upper West Side North,Upper West Side South
2022-11-01,239,236,216,Upper West Side South,Upper East Side North
2022-11-01,164,161,213,Midtown South,Midtown Center
2022-11-01,161,142,212,Midtown Center,Lincoln Square East
2022-11-01,142,161,211,Lincoln Square East,Midtown Center
2022-11-01,170,237,208,Murray Hill,Upper East Side South
2022-11-01,238,236,206,Upper West Side North,Upper East Side North
2022-11-01,161,141,204,Midtown Center,Lenox Hill West
2022-11-01,163,161,204,Midtown North,Midtown Center
2022-11-01,132,48,200,JFK Airport,Clinton East
2022-11-01,138,161,197,LaGuardia Airport,Midtown Center
2022-11-01,237,238,196,Upper East Side South,Upper West Side North
2022-11-01,263,141,196,Yorkville West,Lenox Hill West
2022-11-01,162,141,195,Midtown East,Lenox Hill West
2022-11-01,140,237,194,Lenox Hill East,Upper East Side South
2022-11-01,234,170,193,Union Sq,Murray Hill
2022-11-01,161,186,192,Midtown Center,Penn Station/Madison Sq West
2022-11-02,237,236,1060,Upper East Side South,Upper East Side North
2022-11-02,236,237,896,Upper East Side North,Upper East Side South
2022-11-02,237,237,720,Upper East Side South,Upper East Side South
2022-11-02,236,236,608,Upper East Side North,Upper East Side North
2022-11-02,264,264,599,NV,NV
2022-11-02,237,161,489,Upper East Side South,Midtown Center
2022-11-02,161,237,475,Midtown Center,Upper East Side South
2022-11-02,161,236,457,Midtown Center,Upper East Side North
2022-11-02,236,161,397,Upper East Side North,Midtown Center
2022-11-02,237,162,351,Upper East Side South,Midtown East
2022-11-02,186,161,347,Penn Station/Madison Sq West,Midtown Center
2022-11-02,142,239,337,Lincoln Square East,Upper West Side South
2022-11-02,142,236,320,Lincoln Square East,Upper East Side North
2022-11-02,239,238,310,Upper West Side South,Upper West Side North
2022-11-02,161,234,309,Midtown Center,Union Sq
2022-11-02,132,230,304,JFK Airport,Times Sq/Theatre District
2022-11-02,162,237,303,Midtown East,Upper East Side South
2022-11-02,142,237,297,Lincoln Square East,Upper East Side South
2022-11-02,239,142,291,Upper West Side South,Lincoln Square East
2022-11-02,141,236,289,Lenox Hill West,Upper East Side North
2022-11-02,237,142,284,Upper East Side South,Lincoln Square East
2022-11-02,142,238,282,Lincoln Square East,Upper West Side North
2022-11-02,132,132,280,JFK Airport,JFK Airport
2022-11-02,162,236,276,Midtown East,Upper East Side North
2022-11-02,237,141,275,Upper East Side South,Lenox Hill West
2022-11-02,186,230,269,Penn Station/Madison Sq West,Times Sq/Theatre District
2022-11-02,236,162,269,Upper East Side North,Midtown East
2022-11-02,237,239,267,Upper East Side South,Upper West Side South
2022-11-02,236,141,265,Upper East Side North,Lenox Hill West
2022-11-02,236,239,261,Upper East Side North,Upper West Side South
2022-11-02,140,236,260,Lenox Hill East,Upper East Side North
2022-11-02,163,236,259,Midtown North,Upper East Side North
2022-11-02,161,161,250,Midtown Center,Midtown Center
2022-11-02,238,239,250,Upper West Side North,Upper West Side South
2022-11-02,107,170,247,Gramercy,Murray Hill
2022-11-02,138,230,246,LaGuardia Airport,Times Sq/Theatre District
2022-11-02,236,238,246,Upper East Side North,Upper West Side North
2022-11-02,239,236,246,Upper West Side South,Upper East Side North
2022-11-02,161,164,245,Midtown Center,Midtown South
2022-11-02,236,142,244,Upper East Side North,Lincoln Square East
2022-11-02,164,161,230,Midtown South,Midtown Center
2022-11-02,141,237,228,Lenox Hill West,Upper East Side South
2022-11-02,237,263,228,Upper East Side South,Yorkville West
2022-11-02,236,140,225,Upper East Side North,Lenox Hill East
2022-11-02,140,237,224,Lenox Hill East,Upper East Side South
2022-11-02,237,262,224,Upper East Side South,Yorkville East
2022-11-02,142,161,223,Lincoln Square East,Midtown Center
2022-11-02,237,140,221,Upper East Side South,Lenox Hill East
2022-11-02,163,161,220,Midtown North,Midtown Center
2022-11-02,238,142,217,Upper West Side North,Lincoln Square East
2022-11-02,263,141,217,Yorkville West,Lenox Hill West
2022-11-02,170,237,210,Murray Hill,Upper East Side South
2022-11-02,230,186,210,Times Sq/Theatre District,Penn Station/Madison Sq West
2022-11-02,234,170,210,Union Sq,Murray Hill
2022-11-02,237,170,209,Upper East Side South,Murray Hill
2022-11-02,161,170,208,Midtown Center,Murray Hill
2022-11-02,237,229,208,Upper East Side South,Sutton Place/Turtle Bay North
2022-11-02,263,236,208,Yorkville West,Upper East Side North
2022-11-02,239,237,205,Upper West Side South,Upper East Side South
2022-11-02,161,141,204,Midtown Center,Lenox Hill West
2022-11-03,237,236,1197,Upper East Side South,Upper East Side North
2022-11-03,236,237,959,Upper East Side North,Upper East Side South
2022-11-03,237,237,780,Upper East Side South,Upper East Side South
2022-11-03,264,264,701,NV,NV
2022-11-03,236,236,642,Upper East Side North,Upper East Side North
2022-11-03,237,161,532,Upper East Side South,Midtown Center
2022-11-03,161,237,502,Midtown Center,Upper East Side South
2022-11-03,132,230,423,JFK Airport,Times Sq/Theatre District
2022-11-03,161,236,400,Midtown Center,Upper East Side North
2022-11-03,132,132,387,JFK Airport,JFK Airport
2022-11-03,236,161,384,Upper East Side North,Midtown Center
2022-11-03,237,162,365,Upper East Side South,Midtown East
2022-11-03,141,236,331,Lenox Hill West,Upper East Side North
2022-11-03,186,161,331,Penn Station/Madison Sq West,Midtown Center
2022-11-03,142,239,328,Lincoln Square East,Upper West Side South
2022-11-03,142,237,305,Lincoln Square East,Upper East Side South
2022-11-03,239,238,295,Upper West Side South,Upper West Side North
2022-11-03,237,142,289,Upper East Side South,Lincoln Square East
2022-11-03,237,141,285,Upper East Side South,Lenox Hill West
2022-11-03,239,142,279,Upper West Side South,Lincoln Square East
2022-11-03,140,236,274,Lenox Hill East,Upper East Side North
2022-11-03,236,238,274,Upper East Side North,Upper West Side North
2022-11-03,161,234,270,Midtown Center,Union Sq
2022-11-03,162,237,270,Midtown East,Upper East Side South
2022-11-03,161,161,268,Midtown Center,Midtown Center
2022-11-03,142,238,267,Lincoln Square East,Upper West Side North
2022-11-03,236,162,267,Upper East Side North,Midtown East
2022-11-03,162,236,265,Midtown East,Upper East Side North
2022-11-03,142,236,264,Lincoln Square East,Upper East Side North
2022-11-03,236,142,261,Upper East Side North,Lincoln Square East
2022-11-03,138,230,258,LaGuardia Airport,Times Sq/Theatre District
2022-11-03,186,230,253,Penn Station/Madison Sq West,Times Sq/Theatre District
2022-11-03,236,141,252,Upper East Side North,Lenox Hill West
2022-11-03,163,236,251,Midtown North,Upper East Side North
2022-11-03,237,239,247,Upper East Side South,Upper West Side South
2022-11-03,237,263,246,Upper East Side South,Yorkville West
2022-11-03,239,236,242,Upper West Side South,Upper East Side North
2022-11-03,236,239,241,Upper East Side North,Upper West Side South
2022-11-03,107,170,231,Gramercy,Murray Hill
2022-11-03,48,68,229,Clinton East,East Chelsea
2022-11-03,163,237,228,Midtown North,Upper East Side South
2022-11-03,141,237,225,Lenox Hill West,Upper East Side South
2022-11-03,263,141,221,Yorkville West,Lenox Hill West
2022-11-03,161,164,220,Midtown Center,Midtown South
2022-11-03,234,170,219,Union Sq,Murray Hill
2022-11-03,237,140,219,Upper East Side South,Lenox Hill East
